Project Name,URL,Language,Forks,Open issues,Size Byte,Stars,Topics,Contributors,Type
kdn251/interviews,https://github.com/kdn251/interviews,Java,11946,104,24091,56437,"algorithm, algorithm-challenges, algorithm-competitions, algorithms, coding-challenge, coding-challenges, coding-interview, coding-interviews, interview, interview-practice, interview-prep, interview-preparation, interview-questions, interviews, java, leetcode, leetcode-java, leetcode-questions, leetcode-solutions, technical-coding-interview",42,Other
macrozheng/mall,https://github.com/macrozheng/mall,Java,24044,25,57613,56433,"docker, elasticsearch, elk, java, mongodb, mybatis, mysql, rabbitmq, redis, spring, spring-boot, spring-cloud, spring-security, springboot, springcloud, swagger-ui",2,Other
chartjs/Chart.js,https://github.com/chartjs/Chart.js,JavaScript,11384,138,36300,56350,"canvas, chart, graph, hacktoberfest, html5, html5-charts, javascript",427,Web Application
expressjs/express,https://github.com/expressjs/express,JavaScript,9522,154,9388,56194,"express, javascript, nodejs, server",303,Other
gin-gonic/gin,https://github.com/gin-gonic/gin,Go,6359,493,2748,56166,"framework, gin, go, middleware, performance, router, server",361,"Framework, Web Application"
jquery/jquery,https://github.com/jquery/jquery,JavaScript,20291,81,31130,55919,jquery,331,Other
nvm-sh/nvm,https://github.com/nvm-sh/nvm,Shell,5866,343,3355,55894,"bash, install, lts, node, node-js, nodejs, nvm, nvmrc, posix, posix-compliant, shell, version-manager, zsh",346,Other
socketio/socket.io,https://github.com/socketio/socket.io,TypeScript,9986,113,15186,55360,,203,Other
adam-p/markdown-here,https://github.com/adam-p/markdown-here,JavaScript,10574,309,16032,54568,,12,Other
redis/redis,https://github.com/redis/redis,C,20844,2059,112508,53804,,654,Other
pytorch/pytorch,https://github.com/pytorch/pytorch,C++,15056,11343,761489,54415,"autograd, deep-learning, gpu, machine-learning, neural-network, numpy, python, tensor",3132,AI
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,JavaScript,2659,24,62242,54270,"css, css-framework, functional-css, postcss, responsive, tailwindcss, utility-classes",219,"Framework, Web Application"
shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,C#,16293,75,13485,53972,"c-sharp, proxy, shadowsocks",87,Other
fatedier/frp,https://github.com/fatedier/frp,Go,9814,94,25046,53918,"expose, firewall, frp, go, http-proxy, nat, proxy, reverse-proxy, tunnel",82,Other
redis/redis,https://github.com/redis/redis,C,20844,2059,112508,53804,,654,Other
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,HTML,5872,21,4611,53668,,1255,Other
h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,JavaScript,11967,12,20071,52442,"best-practices, css, html, html5, html5-boilerplate, javascript, robust",296,Web Application
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,Shell,4444,27,229161,53352,"awesome, computer-science, meetup, papers, programming, read-papers, theory",270,Other
protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,C++,13794,972,91430,53316,"marshalling, protobuf, protobuf-runtime, protoc, protocol-buffers, protocol-compiler, rpc, serialization",930,Other
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,Python,7595,8,3854,52935,"awesome, github, hellogithub, python",8,Other
chrislgarry/Apollo-11,https://github.com/chrislgarry/Apollo-11,Assembly,6769,134,2942,52580,"agc, apollo, hacktoberfest, nasa",169,Other
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,JavaScript,10167,336,967787,52504,"blog, compiler, documentation-tool, gatsby, graphql, react, static-site-generator, web-app",4180,Web Application
h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,JavaScript,11967,12,20071,52442,"best-practices, css, html, html5, html5-boilerplate, javascript, robust",296,Web Application
lodash/lodash,https://github.com/lodash/lodash,JavaScript,6331,362,47581,52438,"javascript, lodash, modules, utilities",327,Other
h5bp/Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,Nunjucks,10257,3,3462,52431,"css-questions, front-end, html-questions, interview-questions, interview-test, js-questions",258,Web Application
ansible/ansible,https://github.com/ansible/ansible,Python,21643,1455,212915,52355,"ansible, hacktoberfest, python",6529,Other
coder/code-server,https://github.com/coder/code-server,TypeScript,4322,246,50311,52026,"browser-ide, dev-tools, development-environment, ide, remote-work, vscode, vscode-remote",169,Web Application
kelseyhightower/nocode,https://github.com/kelseyhightower/nocode,Dockerfile,4511,4148,5,51824,,,Other
ElemeFE/element,https://github.com/ElemeFE/element,Vue,13714,2238,82513,51747,"components, element-ui, javascript, ui-kit, vue, vue-components, vuejs",605,Web Application
neovim/neovim,https://github.com/neovim/neovim,Vim script,3697,1521,149397,51371,"api, c, lua, neovim, nvim, text-editor, vim",845,Web Application
resume/resume.github.com,https://github.com/resume/resume.github.com,JavaScript,1293,49,411,50883,,55,Other
rails/rails,https://github.com/rails/rails,Ruby,20186,607,242711,50287,"activejob, activerecord, framework, html, mvc, rails, ruby",5845,"Framework, Web Application"
home-assistant/core,https://github.com/home-assistant/core,Python,17396,1701,325668,50284,"asyncio, home-automation, internet-of-things, iot, mqtt, python, raspberry-pi",3145,Other
apache/echarts,https://github.com/apache/echarts,TypeScript,18691,2054,215500,50141,"apache, canvas, charting-library, charts, data-visualization, data-viz, echarts, svg, visualization",193,Other
Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,JavaScript,5141,1057,112276,49893,"button, css-framework, dropdown, flexbox, popup, semantic, sidebar, tooltip, ui, ui-components",225,"Framework, Web Application"
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,Python,22724,2443,137333,49243,"data-analysis, data-science, machine-learning, python, statistics",2510,AI
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,JavaScript,5237,125,7289,48033,"apple, awesome, awesome-list, awesome-lists, list, mac, mac-osx, macos, macosx, software",410,Other
leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,JavaScript,6398,12,1711,47548,"angular, concepts, es6, es6-javascript, hacktoberfest, javascript, javascript-closures, javascript-engines, javascript-programming, nodejs, primitive-types, programming, react",103,Web Application
grafana/grafana,https://github.com/grafana/grafana,TypeScript,9367,2303,534951,47314,"alerting, analytics, business-intelligence, dashboard, data-visualization, elasticsearch, go, grafana, hacktoberfest, influxdb, metrics, monitoring, mysql, postgres, prometheus",1875,Other
iptv-org/iptv,https://github.com/iptv-org/iptv,JavaScript,8368,331,399988,47264,"iptv, m3u, playlist, streams, tv",163,Other
scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,JavaScript,14795,99,207074,47237,,117,Other
psf/requests,https://github.com/psf/requests,Python,8656,216,12819,47018,"client, cookies, forhumans, http, humans, python, python-requests, requests",710,Other
godotengine/godot,https://github.com/godotengine/godot,C++,8454,7269,855106,46862,"game-development, game-engine, gamedev, godot, godotengine, multi-platform, open-source",1843,Other
necolas/normalize.css,https://github.com/necolas/normalize.css,CSS,10571,72,379,46855,"css, css-reset, normalize-css",42,Web Application
azl397985856/leetcode,https://github.com/azl397985856/leetcode,JavaScript,8810,12,133409,46853,"algo, algorithm, algorithms, algorithms-datastructures, computer-science, cpp, data-structures, interview, java, javascript, leetcode, leetcode-solutions, python, tree",75,Other
ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,TypeScript,13599,651,133109,46496,"angular, capacitor, framework, frontend, ionic, ios, javascript, material-design, mobile, pwa, react, stencil, stenciljs, typescript, vue, web, webcomponents",464,"Framework, Web Application, Mobile App"
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,Java,32853,1274,172739,46421,"framework, spring, spring-framework",734,"Framework, Web Application"
moment/moment,https://github.com/moment/moment,JavaScript,7033,193,19995,46306,,670,Other
remix-run/react-router,https://github.com/remix-run/react-router,TypeScript,9023,64,15683,46250,,749,Other
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,Java,7568,10,132782,45814,"flow, java, reactive-streams, rxjava",318,Web Application
jgthms/bulma,https://github.com/jgthms/bulma,CSS,3862,370,98455,45194,"css, css-framework, design, flexbox, html",383,"Framework, Web Application"
NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,JavaScript,6600,66,102,43527,,56,Other
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,Java,6470,82,32989,44918,,4,Other
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,JavaScript,3249,605,155140,44876,,326,Other
apache/superset,https://github.com/apache/superset,TypeScript,8697,1087,359039,44831,"analytics, apache, apache-superset, asf, bi, business-analytics, business-intelligence, data-analysis, data-analytics, data-engineering, data-science, data-visualization, data-viz, flask, python, react, sql-editor, superset",771,Web Application
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,Java,14686,24,2484,44794,"algorithm, algorithm-challenges, algorithms, algorithms-datastructures, data-structures, hacktoberfest, java, search, sort, sorting-algorithms",374,Other
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,C++,7852,357,52089,44242,"hacktoberfest, lstm, machine-learning, ocr, ocr-engine, tesseract, tesseract-ocr",190,AI
jekyll/jekyll,https://github.com/jekyll/jekyll,Ruby,9724,179,40887,44224,"blog-engine, jekyll, liquid, markdown, ruby, static-site-generator",1166,Other
google/guava,https://github.com/google/guava,Java,9771,737,369405,43813,"guava, java",421,Other
strapi/strapi,https://github.com/strapi/strapi,JavaScript,5306,629,340099,43557,"api, cms, cms-framework, content-management, content-management-system, customizable, dashboard, graphql, hacktoberfest, headless-cms, jamstack, javascript, koa, koa2, mysql, nodejs, rest, strapi",832,"Framework, Web Application"
NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,JavaScript,6600,66,102,43527,,56,Other
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,Python,12048,679,103937,43365,"face-detection, face-recognition, machine-learning, python",47,AI
syncthing/syncthing,https://github.com/syncthing/syncthing,Go,3350,306,118831,43357,"go, p2p, peer-to-peer, synchronization",283,Other
soimort/you-get,https://github.com/soimort/you-get,Python,8795,386,3599,43304,,238,Other
python/cpython,https://github.com/python/cpython,Python,22225,1585,454060,43198,,1940,Other
scrapy/scrapy,https://github.com/scrapy/scrapy,Python,9538,777,22521,42973,"crawler, crawling, framework, hacktoberfest, python, scraping",518,"Framework, Web Application"
meteor/meteor,https://github.com/meteor/meteor,JavaScript,5195,115,113256,42834,"build-system, framework, hacktoberfest, javascript, meteor, mongodb, nodejs, npm, reactive-programming, zero-configuration",783,"Framework, Web Application"
tiangolo/fastapi,https://github.com/tiangolo/fastapi,Python,3245,1432,11833,42741,"api, async, asyncio, fastapi, framework, json, json-schema, openapi, openapi3, pydantic, python, python-types, python3, redoc, rest, starlette, swagger, swagger-ui, uvicorn, web",285,"Framework, Web Application"
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,JavaScript,6190,10,65121,42683,"css, curriculum, education, hacktoberfest, html, javascript, learning",135,Web Application
3b1b/manim,https://github.com/3b1b/manim,Python,4720,324,73793,42678,"3b1b-videos, animation, explanatory-math-videos, python",151,Other
junegunn/fzf,https://github.com/junegunn/fzf,Go,1856,280,4344,42468,"bash, cli, fish, fzf, go, neovim, tmux, unix, vim, zsh",203,Other
serverless/serverless,https://github.com/serverless/serverless,JavaScript,5159,880,95137,42278,"aws, aws-dynamodb, aws-lambda, azure-functions, google-cloud-functions, microservice, serverless, serverless-architectures, serverless-framework",1101,"Framework, Web Application"
prettier/prettier,https://github.com/prettier/prettier,JavaScript,3201,1024,82017,42076,"angular, ast, css, flow, formatter, graphql, html, javascript, json, jsx, less, markdown, prettier, printer, scss, typescript, vue, yaml",595,Web Application
minimaxir/big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,Python,2000,86,330,42027,,83,Other
juliangarnier/anime,https://github.com/juliangarnier/anime,JavaScript,3442,183,47925,41723,"animation, anime, canvas, css, javascript, javascript-library, svg",55,Web Application
square/okhttp,https://github.com/square/okhttp,Kotlin,8792,126,46063,41712,"android, graalvm, java, kotlin",291,Mobile App
aymericdamien/TensorFlow-Examples,https://github.com/aymericdamien/TensorFlow-Examples,Jupyter Notebook,15196,213,10242,41708,"deep-learning, examples, machine-learning, python, tensorflow, tutorial",72,AI
prometheus/prometheus,https://github.com/prometheus/prometheus,Go,6882,621,143995,41360,"alerting, graphing, hacktoberfest, metrics, monitoring, prometheus, time-series",774,Other
git/git,https://github.com/git/git,C,23062,93,188813,41278,"c, hacktoberfest, shell",2021,Other
ColorlibHQ/AdminLTE,https://github.com/ColorlibHQ/AdminLTE,JavaScript,17540,56,137299,40570,"admin, admin-dashboard, admin-panel, admin-template, bootstrap",123,Other
JetBrains/kotlin,https://github.com/JetBrains/kotlin,Kotlin,4997,133,1406667,40542,"compiler, gradle-plugin, intellij-plugin, kotlin, kotlin-library, maven-plugin, programming-language",737,Other
babel/babel,https://github.com/babel/babel,TypeScript,5242,788,84173,40518,"ast, babel, compiler, es2015, es6, flavortown, javascript",1082,Other
yarnpkg/yarn,https://github.com/yarnpkg/yarn,JavaScript,2810,1964,119346,40511,"javascript, npm, package-manager, yarn",535,Other
deepfakes/faceswap,https://github.com/deepfakes/faceswap,Python,11551,24,200176,40463,"deep-face-swap, deep-learning, deep-neural-networks, deepface, deepfakes, deeplearning, face-swap, faceswap, fakeapp, machine-learning, myfakeapp, neural-nets, neural-networks, openfaceswap",88,AI
parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,JavaScript,2101,761,28702,40335,"assets, build-tool, commonjs, compiler, css, es6, html, javascript, module-bundler, modules, web",343,Web Application
android/architecture-samples,https://github.com/android/architecture-samples,Kotlin,11045,195,12364,40276,"android, android-architecture, samples",59,Mobile App
astaxie/build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,Go,10466,111,38326,39742,,417,Other
TryGhost/Ghost,https://github.com/TryGhost/Ghost,JavaScript,8598,52,68769,39704,"blogging, cms, ember, ghost, hacktoberfest, headless-cms, jamstack, javascript, journalism, nodejs, publishing, web-application",448,Web Application
Solido/awesome-flutter,https://github.com/Solido/awesome-flutter,Dart,5808,33,2480,39657,"android, awesome, awesome-list, collections, cross-platform, dartlang, flutter, flutter-apps, flutter-examples, flutter-plugin, flutter-plugins, ios, material-design, mobile, mobile-app, mobile-development, reactive-programming, resources",317,"Web Application, Mobile App"
square/retrofit,https://github.com/square/retrofit,Java,7075,162,5695,39650,"android, java",189,Mobile App
nuxt/nuxt.js,https://github.com/nuxt/nuxt.js,JavaScript,3211,510,43865,39554,"framework, isomorphic, nuxt, server-rendering, ssr, universal, vue, vue-router, vuex, web-app",326,"Framework, Web Application"
v2ray/v2ray-core,https://github.com/v2ray/v2ray-core,Go,8403,26,55084,39195,"golang, http-proxy, proxy, shadowsocks, socks, socks5, v2ray, vmess",98,Other
vsouza/awesome-ios,https://github.com/vsouza/awesome-ios,Swift,6484,20,13180,39091,"apple-swift, arkit, awesome, ios, ios-animation, ios-libraries, objective-c, objective-c-library, swift-extensions, swift-framework, swift-language, swift-library, swift-programming",986,"Framework, Web Application, Mobile App"
